Genre,Name,URL
Horror,The Private Memoirs and Confessions of a Justified Sinner,https://www.goodreads.com/book/show/87580.The_Private_Memoirs_and_Confessions_of_a_Justified_Sinner
Horror,Tales of Mystery and Imagination,https://www.goodreads.com/book/show/156152.Tales_of_Mystery_and_Imagination
Horror,Twice-Told Tales,https://www.goodreads.com/book/show/47061.Twice_Told_Tales
Horror,The Black Spider,https://www.goodreads.com/book/show/6425573-the-black-spider
Horror,The Wandering Jew,https://www.goodreads.com/book/show/7690517-the-wandering-jew
Horror,The Confidence-Man,https://www.goodreads.com/book/show/12036.The_Confidence_Man
Horror,Uncle Silas,https://www.goodreads.com/book/show/49190.Uncle_Silas
Horror,Dr. Jekyll And Mr. Hyde and Other Stories of the Supernatural,https://www.goodreads.com/book/show/223120.Dr_Jekyll_And_Mr_Hyde_and_Other_Stories_of_the_Supernatural
Horror,"She: A History of Adventure (She, #1)",https://www.goodreads.com/book/show/682681.She
Horror,The King In Yellow,https://www.goodreads.com/book/show/12988720-the-king-in-yellow
Horror,The Island of Dr. Moreau,https://www.goodreads.com/book/show/29981.The_Island_of_Dr_Moreau
Horror,The Turn of the Screw,https://www.goodreads.com/book/show/12948.The_Turn_of_the_Screw
Horror,The Jewel of Seven Stars,https://www.goodreads.com/book/show/543300.The_Jewel_of_Seven_Stars
Horror,The House of Souls,https://www.goodreads.com/book/show/310583.The_House_of_Souls
Horror,"John Silence, Physician Extraordinary",https://www.goodreads.com/book/show/11309044-john-silence-physician-extraordinary
Horror,The collected works of Ambrose Bierce,https://www.goodreads.com/book/show/10712569-the-collected-works-of-ambrose-bierce
Horror,Widdershins,https://www.goodreads.com/book/show/856232.Widdershins
Horror,Horror Horn,https://www.goodreads.com/book/show/3325236-horror-horn
Horror,A Voyage to Arcturus,https://www.goodreads.com/book/show/1064084.A_Voyage_to_Arcturus
Horror,Something About Eve,https://www.goodreads.com/book/show/903320.Something_About_Eve
Horror,Medusa,https://www.goodreads.com/book/show/10086712-medusa
Horror,The Werewolf of Paris,https://www.goodreads.com/book/show/539519.The_Werewolf_of_Paris
Horror,The Last Bouquet: Some Twilight Tales,https://www.goodreads.com/book/show/13614881-the-last-bouquet
Horror,The Cadaver of Gideon Wyck,https://www.goodreads.com/book/show/5031313-the-cadaver-of-gideon-wyck
Horror,A Second Century of Creepy Stories,https://www.goodreads.com/book/show/3904738-a-second-century-of-creepy-stories
Horror,The Dark Tower and Other Stories,https://www.goodreads.com/book/show/22548.The_Dark_Tower_and_Other_Stories
Horror,Johnny Got His Gun,https://www.goodreads.com/book/show/51606.Johnny_Got_His_Gun
Horror,The Outsider And Others,https://www.goodreads.com/book/show/11399579-the-outsider-and-others
Horror,Out Of Space And Time,https://www.goodreads.com/book/show/13415587-out-of-space-and-time
Horror,Night Has a Thousand Eyes,https://www.goodreads.com/book/show/45337.Night_Has_a_Thousand_Eyes
Horror,The Lurker at the Threshold,https://www.goodreads.com/book/show/164312.The_Lurker_at_the_Threshold
Horror,Deliver Me From Eva,https://www.goodreads.com/book/show/9020959-deliver-me-from-eva
Horror,And the Darkness Falls,https://www.goodreads.com/book/show/4343679-and-the-darkness-falls
Horror,The Sleeping and the Dead,https://www.goodreads.com/book/show/13616146-the-sleeping-and-the-dead
Horror,The Track Of The Cat (Western Literature and Fiction Series),https://www.goodreads.com/book/show/104047.The_Track_Of_The_Cat
Horror,The Sound of His Horn,https://www.goodreads.com/book/show/929849.The_Sound_of_His_Horn
Horror,The October Country: Stories,https://www.goodreads.com/book/show/1091582.The_October_Country
Horror,Nine Horrors and a Dream,https://www.goodreads.com/book/show/939453.Nine_Horrors_and_a_Dream
Horror,"Psycho (Psycho, #1)",https://www.goodreads.com/book/show/156427.Psycho
Horror,Quatermass and the Pit (Quatermass #3),https://www.goodreads.com/book/show/1928312.Quatermass_and_the_Pit
Horror,Cry Horror!,https://www.goodreads.com/book/show/2759740-cry-horror
Horror,The Three Stigmata of Palmer Eldritch,https://www.goodreads.com/book/show/14185.The_Three_Stigmata_of_Palmer_Eldritch
Horror,The Painted Bird,https://www.goodreads.com/book/show/18452.The_Painted_Bird
Horror,The Crystal World,https://www.goodreads.com/book/show/70255.The_Crystal_World
Horror,Sub Rosa,https://www.goodreads.com/book/show/1493716.Sub_Rosa
Horror,The Green Man,https://www.goodreads.com/book/show/249863.The_Green_Man
Horror,The Compleat Werewolf and Other Stories of Fantasy and Science Fiction,https://www.goodreads.com/book/show/909453.The_Compleat_Werewolf_and_Other_Stories_of_Fantasy_and_Science_Fiction
Horror,Grendel,https://www.goodreads.com/book/show/676737.Grendel
Horror,The Sheep Look Up,https://www.goodreads.com/book/show/41074.The_Sheep_Look_Up
Horror,Worse Things Waiting,https://www.goodreads.com/book/show/4726826-worse-things-waiting
Horror,Burnt Offerings,https://www.goodreads.com/book/show/897717.Burnt_Offerings
Horror,Deathbird Stories,https://www.goodreads.com/book/show/219376.Deathbird_Stories
Horror,Murgunstrumm & Others,https://www.goodreads.com/book/show/1562773.Murgunstrumm_Others
Horror,"Sweetheart, Sweetheart",https://www.goodreads.com/book/show/879525.Sweetheart_Sweetheart
Horror,All Heads Turn When the Hunt Goes By,https://www.goodreads.com/book/show/921198.All_Heads_Turn_When_the_Hunt_Goes_By
Horror,Falling Angel,https://www.goodreads.com/book/show/12787.Falling_Angel
Horror,The Wolfen,https://www.goodreads.com/book/show/201548.The_Wolfen
Horror,The Totem,https://www.goodreads.com/book/show/21830.The_Totem
Horror,Ghost Story,https://www.goodreads.com/book/show/19581.Ghost_Story
Horror,The Land of Laughs,https://www.goodreads.com/book/show/42143.The_Land_of_Laughs
Horror,The Cellar,https://www.goodreads.com/book/show/145152.The_Cellar
Horror,"The Keep (Adversary Cycle, #1)",https://www.goodreads.com/book/show/62571.The_Keep
Horror,The Dark Country,https://www.goodreads.com/book/show/219436.The_Dark_Country
Horror,In a Lonely Place,https://www.goodreads.com/book/show/823909.In_a_Lonely_Place
Horror,The Arabian Nightmare,https://www.goodreads.com/book/show/26908.The_Arabian_Nightmare
Horror,"Mythago Wood (Mythago Wood, #1)",https://www.goodreads.com/book/show/126192.Mythago_Wood
Horror,Who Made Stevie Crye?,https://www.goodreads.com/book/show/938985.Who_Made_Stevie_Crye_
Horror,Song of Kali,https://www.goodreads.com/book/show/3979.Song_of_Kali
Horror,Hawksmoor,https://www.goodreads.com/book/show/67729.Hawksmoor
Horror,A Nest of Nightmares,https://www.goodreads.com/book/show/753143.A_Nest_of_Nightmares
Horror,The Pet,https://www.goodreads.com/book/show/219472.The_Pet
Adventure,"Jurassic Park (Jurassic Park, #1)",https://www.goodreads.com/book/show/40604658-jurassic-park
Adventure,"The Hobbit (The Lord of the Rings, #0)",https://www.goodreads.com/book/show/5907.The_Hobbit
Adventure,"The Hunger Games (The Hunger Games, #1)",https://www.goodreads.com/book/show/2767052-the-hunger-games
Adventure,"The Fellowship of the Ring (The Lord of the Rings, #1)",https://www.goodreads.com/book/show/34.The_Fellowship_of_the_Ring
Adventure,"The Da Vinci Code (Robert Langdon, #2)",https://www.goodreads.com/book/show/968.The_Da_Vinci_Code
Adventure,"The Girl with the Dragon Tattoo (Millennium, #1)",https://www.goodreads.com/book/show/2429135.The_Girl_with_the_Dragon_Tattoo
Adventure,"The Bourne Identity (Jason Bourne, #1)",https://www.goodreads.com/book/show/7869.The_Bourne_Identity
Adventure,"The Hunt for Red October (Jack Ryan, #3)",https://www.goodreads.com/book/show/19691.The_Hunt_for_Red_October
Adventure,The Count of Monte Cristo,https://www.goodreads.com/book/show/7126.The_Count_of_Monte_Cristo
Adventure,"The Return of the King (The Lord of the Rings, #3)",https://www.goodreads.com/book/show/18512.The_Return_of_the_King
Adventure,"Divergent (Divergent, #1)",https://www.goodreads.com/book/show/13335037-divergent
Adventure,"A Game of Thrones (A Song of Ice and Fire, #1)",https://www.goodreads.com/book/show/6421982-a-game-of-thrones
Adventure,"Catching Fire (The Hunger Games, #2)",https://www.goodreads.com/book/show/6148028-catching-fire
Adventure,The Lord of the Rings,https://www.goodreads.com/book/show/33.The_Lord_of_the_Rings
Adventure,The Three Musketeers,https://www.goodreads.com/book/show/7190.The_Three_Musketeers
Adventure,Treasure Island,https://www.goodreads.com/book/show/295.Treasure_Island
Adventure,"Mockingjay (The Hunger Games, #3)",https://www.goodreads.com/book/show/7260188-mockingjay
Adventure,"Patriot Games (Jack Ryan, #1)",https://www.goodreads.com/book/show/32682.Patriot_Games
Adventure,"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)",https://www.goodreads.com/book/show/3.Harry_Potter_and_the_Sorcerer_s_Stone
Adventure,"The Lost World (Jurassic Park, #2)",https://www.goodreads.com/book/show/8650.The_Lost_World
Adventure,"Dune (Dune, #1)",https://www.goodreads.com/book/show/44767458-dune
Adventure,And Then There Were None,https://www.goodreads.com/book/show/16299.And_Then_There_Were_None
Adventure,Deception Point,https://www.goodreads.com/book/show/976.Deception_Point
Adventure,"The Two Towers (The Lord of the Rings, #2)",https://www.goodreads.com/book/show/15241.The_Two_Towers
Adventure,"The Pillars of the Earth (Kingsbridge, #1)",https://www.goodreads.com/book/show/5043.The_Pillars_of_the_Earth
